"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","sponge_rank","sponge_hotspot","sponge_hotspot2"
"88",8643,0.132583007991326,0.0277777777777778,"(11) Mainland Fjords",17.6666666666667,28,3,0,0,0,0.0277777777777778,0.132583007991326,6,0,1
"89",8783,0.0134695476092247,0,"(13) Eastern Queen Charlotte Sound",71.19014205,119.7484663,4,0,2,0,0,0.0134695476092247,5,0,1
"90",8786,5.08181382778369e-05,0,"(13) Eastern Queen Charlotte Sound",23,29,2,0,0,0,0,5.08181382778369e-05,2,0,0
"91",8787,0.173554021779776,0.0416666666666667,"(11) Mainland Fjords",21,33,5,0,0,0,0.0416666666666667,0.173554021779776,8,0,1
"92",8788,0.14131919113756,0.0277777777777778,"(11) Mainland Fjords",17.1666666666667,30,6,0,0,0,0.0277777777777778,0.14131919113756,7,0,1
"93",8790,2.60271578773684e-05,0,"(11) Mainland Fjords",16.6666666666667,28,3,0,0,0,0,2.60271578773684e-05,2,0,0
"94",8792,0.357320871830783,0.152674100808411,"(11) Mainland Fjords",143.8705272525,303.7648017,5,0,0,80,0.152674100808411,0.357320871830783,9,0,1
"95",8940,3.07992972292454e-06,0,"(13) Eastern Queen Charlotte Sound",16.3333333333333,25,3,0,0,0,0,3.07992972292454e-06,1,0,0
"96",8941,5.08248693895155e-05,0,"(13) Eastern Queen Charlotte Sound",19.2,29,5,0,0,0,0,5.08248693895155e-05,2,0,0
"97",8944,0.00986051386818849,0,"(13) Eastern Queen Charlotte Sound",32.733501785,62.65454545,5,0,6,0,0,0.00986051386818849,4,0,0
"98",8948,1.41422248267691e-09,0,"(11) Mainland Fjords",10.5,15,2,0,0,0,0,1.41422248267691e-09,1,0,0
"99",8950,0.299706125597233,0.319444444444444,"(11) Mainland Fjords",19.9,33,10,0,0,0,0.319444444444444,0.299706125597233,9,0,1
"100",9097,9.55990376164008e-05,0,"(13) Eastern Queen Charlotte Sound",24,30,2,0,0,0,0,9.55990376164008e-05,3,0,0
"101",9098,1.29987974957582e-05,0,"(13) Eastern Queen Charlotte Sound",19.8,27,5,0,0,0,0,1.29987974957582e-05,2,0,0
"102",9099,1.48835619239887e-06,0,"(13) Eastern Queen Charlotte Sound",18,24,5,0,0,0,0,1.48835619239887e-06,1,0,0
"103",9102,0.0200381967531049,0.000217582895827748,"(13) Eastern Queen Charlotte Sound",34.4437571977778,78.14791667,10,0,9,0,0.000217582895827748,0.0200381967531049,5,0,1
"104",9108,0.0438874214305062,0.0122248879004447,"(11) Mainland Fjords",71.6415044209524,206.7811421,8,0,1,21,0.0122248879004447,0.0438874214305062,6,0,1
"105",9109,0.308759814254304,0.222222222222222,"(11) Mainland Fjords",16.3333333333333,33,9,0,0,0,0.222222222222222,0.308759814254304,9,0,1
"106",9110,5.0818139859296e-05,0,"(11) Mainland Fjords",17.6666666666667,29,3,0,0,0,0,5.0818139859296e-05,2,0,0
"107",9257,0.000458828421940264,0,"(13) Eastern Queen Charlotte Sound",19,33,4,0,0,0,0,0.000458828421940264,3,0,0
