Dive_Bin,X4km2grid,binArea,AvgDepth,Aphrocallistidae,Boot.sponge,Chrysopathes,Farrea,Mycale,Paragorgia,Primnoa,Swiftia,Stylaster,Greenstriped rockfish,Quillback rockfish,Redbanded rockfish,Redstriped rockfish,Rosethorn rockfish,Sebastolobus alascanus,Sharpchin rockfish,Shortraker rockfish,Tiger rockfish,Yelloweye rockfish,X1km2grid,UpperOceanSR
B052_34,9265,120.530621,369.9077613,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_35,9265,121.1477053,371.1619593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_36,9265,121.4114678,370.5883694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_37,9265,120.2231161,369.3583152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_38,9265,118.9139438,370.517317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_39,9265,120.4642544,373.0378032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_4,9265,121.2350184,353.2626633,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_40,9265,119.9188867,375.8736747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_41,9265,120.2904595,379.4383451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_42,9265,121.5745531,383.730746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_43,9265,121.0359697,387.827849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_44,9265,121.5606454,390.230458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_45,9265,121.0401906,390.3895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_46,9265,121.5673997,389.2220171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_47,9265,120.9245989,388.3869958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_48,9265,121.945717,385.4635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_5,9265,121.4662139,359.117217,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
B052_6,9265,121.3439268,365.5279657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37302,(11) Mainland Fjords
