binGrp,coralFix,area.m2,black,bocaccio,brown,canary,china,copper,deacon,dusky,greenstripe,puget.sound,pygmy,quillback,redstripe,rosethorn,sharpchin,silvergray,splitnose,stripetail,tiger,vermillion,widow,yelloweye,yellowtail,blackspotted,shortraker,shortbelly,depth,Glass.sponge.cover,Paragorgia.Pac_count,Stylaster_count,CalcigorgiaNew,ParagorgiaNew,StylasterNew,PU_1Km_ID,PU_4Km_ID,UpperOceanSR
T_112_5,FALSE,134.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,64.2,0,0,0,,,,51284,11302,(13) Eastern Queen Charlotte Sound
T_112_6,FALSE,105.5873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,49.7,0,0,0,,,,51285,11302,(13) Eastern Queen Charlotte Sound
T_112_7,FALSE,36.8295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,30.4,1,0,0,,,,51285,11302,(13) Eastern Queen Charlotte Sound
T_113_1,FALSE,126.6738,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,50.88,1,0,0,,,,32243,8316,(11) Mainland Fjords
T_113_2,FALSE,114.2718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,71.7,0.84,0,0,,,,32243,8316,(11) Mainland Fjords
T_113_3,FALSE,117.5974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,79.91428571,0,0,0,,,,32243,8316,(11) Mainland Fjords
T_113_4,FALSE,114.0968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,98.0047619,0,0,0,,,,32243,8316,(11) Mainland Fjords
T_113_5,FALSE,11.5374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,102.1,0,0,0,,,,32243,8316,(11) Mainland Fjords
T_114_1,FALSE,122.5851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,36.6,0.361702128,0,0,,,,32241,8315,(11) Mainland Fjords
T_114_2,FALSE,118.8376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,53.18571429,1,0,0,,,,32241,8315,(11) Mainland Fjords
T_114_3,FALSE,124.2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,75.76666667,1,0,0,,,,32241,8315,(11) Mainland Fjords
T_114_4,FALSE,126.6787,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,85.7462963,1,0,0,,,,32241,8315,(11) Mainland Fjords
T_114_5,FALSE,29.1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,70.47857143,1,0,0,,,,32241,8315,(11) Mainland Fjords
T_115_1,FALSE,35.1972,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,30.6,0,0,0,,,,44159,10367,(11) Mainland Fjords
T_115_10,FALSE,31.6976,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,53.16666667,0,0,0,,,,44160,10367,(11) Mainland Fjords
T_115_11,FALSE,137.7009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,43.4,0,0,0,,,,44160,10367,(11) Mainland Fjords
T_115_12,FALSE,32.7549,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,51,0,0,0,,,,44160,10367,(11) Mainland Fjords
