"","PU_1Km_ID","raw_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_score","coral_rank","coral_hotspot"
"145",30748,1.41891561344771e-05,"(11) Mainland Fjords",8011,25.5,28,2,0,0,0,1.29354618931063e-05,8,0
"146",30749,1.36155460175469e-05,"(11) Mainland Fjords",8012,27,30,2,0,0,0,1.24125335569369e-05,7,0
"147",30941,7.96639904568073e-05,"(11) Mainland Fjords",8156,26.75,34,4,0,0,0,7.26252148500159e-05,10,1
"148",30943,1.01666186182427e-05,"(11) Mainland Fjords",8156,30,30,1,0,0,0,9.26833889708767e-06,5,0
"149",30944,9.50400318675249e-06,"(11) Mainland Fjords",8157,27,33,2,0,0,0,8.66426938212904e-06,4,0
"150",30945,9.13393264344976e-06,"(11) Mainland Fjords",8157,26.5,27,2,0,0,0,8.32689671773062e-06,4,0
"151",30947,6.55680796044294e-06,"(11) Mainland Fjords",8159,31,32,2,0,0,0,5.9774759477514e-06,3,0
"152",30970,1.5197762930642e-05,"(11) Mainland Fjords",8168,23.25,25,2,0,0,0,1.3854952428926e-05,9,1
"153",31161,0.214304032193093,"(11) Mainland Fjords",8155,93.43229166625,119.1,0,0,8,0,0.195369027988707,10,1
"154",31162,0.0850718159730099,"(11) Mainland Fjords",8155,91.020555555,117.6,0,0,6,0,0.0775552276165563,10,1
"155",31165,0.000133542836573377,"(11) Mainland Fjords",8156,27,30,2,0,0,0,0.000121743552415699,10,1
"156",31166,0,"(11) Mainland Fjords",8156,25.1428571428571,32,7,0,0,0,0,1,0
"157",31167,1.38931682631924e-05,"(11) Mainland Fjords",8157,26.25,29,2,0,0,0,1.26656262669748e-05,8,0
"158",31169,1.69392132365874e-05,"(11) Mainland Fjords",8157,22,22,1,0,0,0,1.54425354999559e-05,9,1
"159",31178,8.46344461906099e-06,"(11) Mainland Fjords",8160,28,30,3,0,0,0,7.71565019911694e-06,4,0
"160",31185,1.15751633258451e-05,"(11) Mainland Fjords",8165,28,28,1,0,0,0,1.05524305102355e-05,6,0
"161",31391,6.25863282905066e-06,"(11) Mainland Fjords",8157,26.1666666666667,32,4,0,0,0,5.70564631862886e-06,3,0
"162",31593,0.0772792370703888,"(13) Eastern Queen Charlotte Sound",8155,94.2490530425,124.5545455,0,0,4,0,0.0704511682568208,10,1
"163",31597,0.0303932714568961,"(11) Mainland Fjords",8156,92.3495370266667,124.3333333,0,0,3,0,0.0277078496431673,10,1
"164",31603,1.38931682631924e-05,"(11) Mainland Fjords",8157,26.25,29,2,0,0,0,1.26656262669748e-05,8,0
