"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","coral_rank","coral_hotspot","coral_hotspot2"
"148",10203,2.21681348511023e-08,0,"(13) Eastern Queen Charlotte Sound",25.75,30,4,0,0,0,0,1.95140687638238e-08,3,0,0
"149",10210,2.38186324919973e-08,0,"(11) Mainland Fjords",27,30,2,0,0,0,0,2.09669616064236e-08,4,0,0
"150",10211,0.000811554499240435,0.000758265089475278,"(11) Mainland Fjords",25,28,1,0,0,0,0.000669148356357532,0.000714391644138749,9,0,0
"151",10221,2.27251416328746e-08,0,"(11) Mainland Fjords",25,30,2,0,0,0,0,2.00043882568451e-08,3,0,0
"152",10222,1.84083776837642e-08,0,"(11) Mainland Fjords",30,30,1,0,0,0,0,1.62044461730416e-08,1,0,0
"153",10367,0.385292292452285,0.387738508513615,"(11) Mainland Fjords",159.958259977888,244.5752333,0,0,8,31,0.342168707579495,0.339163413592793,10,1,1
"154",10368,4.87944116104116e-07,0,"(11) Mainland Fjords",36.2619588804762,52.23947368,4,0,7,0,0,4.29525311827733e-07,7,0,0
"155",10369,1.13600782693759,1.13317933500255,"(11) Mainland Fjords",94.1421803452356,182.335316,3,0,6,51,1,1,10,1,1
"156",10382,2.08620836444143e-08,0,"(11) Mainland Fjords",26.1666666666667,30,4,0,0,0,0,1.83643837214164e-08,1,0,0
"157",10389,4.85058320620697e-08,0,"(11) Mainland Fjords",22.675,24,1,0,1,0,0,4.26985016404595e-08,6,0,0
"158",10520,1.22499237938831e-06,0,"(13) Eastern Queen Charlotte Sound",52.9354195010476,65.7,0,0,7,0,0,1.07833093253468e-06,7,0,0
"159",10521,2.96148056586762e-06,0,"(13) Eastern Queen Charlotte Sound",82.214285715,91.6,0,0,2,0,0,2.60691915640323e-06,8,0,0
"160",10523,0.00387045879288062,0.00407508185379861,"(11) Mainland Fjords",356.139026168889,407.6385613,0,0,0,45,0.00359614910713973,0.0034070705334086,9,0,0
